BANCOINDIA,EQ,115,115.95,113.7,114.45,114.3,115.25,18118,2074213.35,04-APR-2016,307,INE213C01025,
BANG,EQ,14,14.05,14,14.05,14.05,14.25,105,1475,04-APR-2016,2,INE863I01016,
BANKBARODA,EQ,154,154.15,149.65,151.45,151.3,152.8,6201546,940982248.3,04-APR-2016,28219,INE028A01039,
BANKBEES,EQ,1630,1635,1615,1628.53,1628.99,1626.36,2234,3628841.76,04-APR-2016,192,INF732E01078,
BANKINDIA,EQ,101.65,101.8,98.5,99.75,99.95,100.5,3643248,364179328.05,04-APR-2016,17039,INE084A01016,
BANSWRAS,EQ,91.5,94.9,86.2,91.05,91.5,89.5,10075,910675.35,04-APR-2016,109,INE629D01012,
BARTRONICS,EQ,9,9.2,8.8,9.05,9.05,8.85,43951,393653.35,04-APR-2016,105,INE855F01034,
BASF,EQ,868.4,869.85,827.5,841.6,838,859.45,16994,14402043.4,04-APR-2016,2197,INE373A01013,
BASML,EQ,193.5,207,193.5,207,207,200.65,106,21916.2,04-APR-2016,8,INE186H01014,
BATAINDIA,EQ,507.7,524.85,503.1,522.7,523,504.55,1325203,684549464.8,04-APR-2016,27770,INE176A01028,
BAYERCROP,EQ,3721.05,3767.65,3661,3677.95,3673,3784.1,12865,47562680.95,04-APR-2016,1040,INE462A01022,
BBL,EQ,930.9,950,915.1,920.75,922,922.8,56173,52549389.95,04-APR-2016,2937,INE464A01028,
BBTC,EQ,378.9,391,373,383.35,391,376.1,32696,12477113.15,04-APR-2016,844,INE050A01025,
BEDMUTHA,EQ,12.5,12.5,11.4,11.5,11.5,11.5,1432,16797.7,04-APR-2016,8,INE844K01012,
BEL,EQ,1215,1218.95,1202.25,1205.9,1206,1199.1,195877,236488901.6,04-APR-2016,6931,INE263A01016,
BEML,EQ,1033,1035.9,1011.3,1016.6,1011.4,1028.45,125671,128439998.45,04-APR-2016,7676,INE258A01016,
BEPL,EQ,18.55,19,18.55,18.9,18.95,18.7,73096,1375989.1,04-APR-2016,170,INE922A01025,
BERGEPAINT,EQ,245,245,239.15,243.4,242.7,244.45,72325,17518950.8,04-APR-2016,1934,INE463A01038,
BFINVEST,EQ,121.95,124.65,121.3,122.2,122.25,121.95,44684,5475240.25,04-APR-2016,908,INE878K01010,
BFUTILITIE,EQ,571.6,577.8,565,572.7,572,568.15,445151,254643133.05,04-APR-2016,11504,INE243D01012,
BGLOBAL,BE,5.5,5.5,5,5.05,5.45,5.25,10072,51879.95,04-APR-2016,31,INE224M01013,
BGRENERGY,EQ,107.2,108.7,106.8,107.5,107.3,106.9,88851,9564718.2,04-APR-2016,1397,INE661I01014,
BHAGERIA,EQ,146.5,146.5,139.1,141.95,142,142.8,8986,1269771.55,04-APR-2016,112,INE354C01019,
BHAGYNAGAR,EQ,16.65,17.45,16.35,16.95,17.45,16.65,5631,94141.35,04-APR-2016,47,INE458B01028,
BHARATFORG,EQ,868,875.5,842,847,846.3,862.7,629375,538107377.65,04-APR-2016,32724,INE465A01025,
BHARATGEAR,EQ,67,70.15,67,68.4,68.75,66.8,11432,780479.3,04-APR-2016,119,INE561C01019,
BHARATIDIL,EQ,19,19.5,19,19.4,19.4,19.05,5928,113927.7,04-APR-2016,31,INE673G01013,
BHARATRAS,EQ,900,924.95,885.1,899.25,911,881.55,278,250476.75,04-APR-2016,36,INE838B01013,
BHARATWIRE,BE,45.5,45.5,43.35,43.95,44,45.55,558140,24740146.5,04-APR-2016,708,INE316L01019,
BHARTIARTL,EQ,335.55,350.9,335.55,348.5,348.95,335.45,3095605,1064072040.6,04-APR-2016,41393,INE397D01024,
BHEL,EQ,117.5,118.8,114.7,116.85,117.15,116.45,6485269,754886106.8,04-APR-2016,38387,INE257A01026,
BHUSANSTL,EQ,36.25,38,36.2,37.65,37.7,36.2,253730,9444194.25,04-APR-2016,1451,INE824B01021,
BIL,EQ,469.5,469.5,444.7,453.85,453.5,457.55,2228,1013072.85,04-APR-2016,158,INE828A01016,
BILENERGY,EQ,1.1,1.1,0.95,1.05,1.05,1,1430,1500.65,04-APR-2016,7,INE607L01029,
BILPOWER,EQ,0.85,0.85,0.8,0.8,0.8,0.85,17773,14223.4,04-APR-2016,14,INE952D01018,
BINANIIND,EQ,64.15,65.85,63.3,64.05,63.7,64.45,19226,1243215.35,04-APR-2016,332,INE071A01013,
BINDALAGRO,EQ,24.2,24.75,22.55,23.25,23.3,23.5,491207,11523475.35,04-APR-2016,1984,INE143A01010,
BIOCON,EQ,494.95,494.95,486.55,492,491,490.9,259105,127160543.6,04-APR-2016,7011,INE376G01013,
BIRLACORPN,EQ,379,383,374.15,377.15,379.95,373.95,1842,697477.85,04-APR-2016,169,INE340A01012,
BIRLACOT,EQ,0.05,0.05,0.05,0.05,0.05,0.05,178304,8915.2,04-APR-2016,56,INE655I01024,
BIRLAERIC,BE,34.4,34.4,34.25,34.4,34.4,32.8,8737,300527.8,04-APR-2016,31,INE800A01015,
BIRLAMONEY,EQ,21,21.5,20.65,21.25,21.15,21,14307,301719.85,04-APR-2016,107,INE865C01022,
BLBLIMITED,EQ,3.6,3.6,2.95,3.25,3.25,3.5,5251,17120.45,04-APR-2016,11,INE791A01024,
BLISSGVS,EQ,133.05,142.3,131.2,138.45,139.5,132.55,719539,99344813.65,04-APR-2016,6288,INE416D01022,
BLKASHYAP,EQ,14.85,15.4,14.2,14.3,14.3,14.55,106867,1547614.65,04-APR-2016,431,INE350H01032,
BLUEBLENDS,EQ,87.75,87.75,83,85.55,84.9,82.75,13967,1187408.1,04-APR-2016,268,INE113O01014,
BLUECHIP,BE,0.55,0.55,0.55,0.55,0.55,0.55,12400,6820,04-APR-2016,3,INE657B01025,
BLUEDART,EQ,6133,6259,6132.95,6217.4,6190,6133.85,2110,13093195.9,04-APR-2016,690,INE233B01017,
BLUEDART,N2,10.06,10.06,10.06,10.06,10.06,10.08,28,281.68,04-APR-2016,1,INE233B08095,
BLUESTARCO,EQ,397.75,401.65,391.55,393.35,393.05,396.1,60010,23759126.8,04-APR-2016,2103,INE472A01039,
BLUESTINFO,EQ,244.85,250.7,240.05,245.5,245,238.95,7685,1878288.85,04-APR-2016,622,INE504B01011,
BODALCHEM,EQ,74.3,74.8,70.25,72,71.25,73.35,384186,28033777.25,04-APR-2016,3391,INE338D01028,
BOMDYEING,EQ,49.05,49.9,48.4,48.7,48.6,48.55,815359,40057071.35,04-APR-2016,4673,INE032A01023,
BOSCHLTD,EQ,20140,20312.25,19815.7,20082.1,19980,19888.55,17053,342361842.25,04-APR-2016,6163,INE323A01026,
BPCL,EQ,895,897.4,880.6,887,887,887.25,936274,830979142.2,04-APR-2016,28437,INE029A01011,
BPL,EQ,27.5,28.45,27,27.9,28.15,27.05,41562,1151413.45,04-APR-2016,234,INE110A01019,
BRFL,EQ,142.8,143.6,138,138.65,138.45,139.8,15623,2171936.75,04-APR-2016,198,INE589G01011,
BRIGADE,EQ,144,144.4,139.6,140.45,140.35,143.15,24254,3421961.2,04-APR-2016,575,INE791I01019,
BRITANNIA,EQ,2700,2703.55,2650,2659.2,2659.4,2679.05,184402,491007117.1,04-APR-2016,9366,INE216A01022,
BROOKS,EQ,86.4,88.9,86.4,86.9,86.7,86.45,33484,2924427,04-APR-2016,458,INE650L01011,
BSELINFRA,EQ,3.4,3.7,3.35,3.65,3.6,3.6,73975,259880.75,04-APR-2016,102,INE395A01016,
BSL,EQ,65.25,66.5,59.4,62.05,63.5,65.25,29430,1847936.15,04-APR-2016,366,INE594B01012,
BSLIMITED,EQ,13.75,14.2,13.4,13.6,13.7,13.7,472733,6453264.8,04-APR-2016,203,INE043K01029,
BURNPUR,EQ,9.9,9.95,9.5,9.75,9.85,9.85,256496,2494305.05,04-APR-2016,301,INE817H01014,
BUTTERFLY,EQ,169.8,173.5,164.25,167.05,167.5,169.6,11600,1939455.4,04-APR-2016,321,INE295F01017,
BVCL,EQ,15.7,15.95,15,15.45,15.45,15.85,4498,68840.25,04-APR-2016,53,INE139I01011,
BYKE,EQ,155.35,156,153.75,155.4,155.55,154.7,82048,12710975.9,04-APR-2016,2792,INE319B01014,
CADILAHC,EQ,321.8,322.95,313.5,315.15,314.5,320.85,1219970,384629248.7,04-APR-2016,12498,INE010B01027,
CAIRN,EQ,150.25,152.55,150,151.9,152.1,153.25,1609762,243446203.95,04-APR-2016,12724,INE910H01017,
CAMLINFINE,EQ,91.25,92,90.45,91.4,91.4,90.75,35438,3235716.5,04-APR-2016,868,INE052I01032,
CANBK,EQ,200.4,201.9,196.1,198.35,198.25,198.65,2740428,545240212.1,04-APR-2016,21741,INE476A01014,
CANDC,EQ,10.3,10.6,10,10.25,10.25,10.2,10482,107894.4,04-APR-2016,37,INE874H01015,
CANFINHOME,EQ,1200,1200,1171,1187.85,1185,1184.75,22326,26534617.7,04-APR-2016,1319,INE477A01012,
CANTABIL,EQ,68.1,69.9,67.3,67.95,67.95,68.15,2322,157960.25,04-APR-2016,27,INE068L01016,
CAPF,EQ,428.9,439.35,426.2,429.5,430,428.35,57741,24943866.8,04-APR-2016,2506,INE688I01017,
CAPLIPOINT,EQ,1096,1119,1047.2,1106.3,1100.05,1085.2,8761,9545602.35,04-APR-2016,1221,INE475E01018,
